field,total_journals,journals_with_data,journals_missing,coverage_pct
Library & Information Science,135,12,123,8.9
Arts & Humanities,2513,242,2271,9.6
History,1102,107,995,9.7
Linguistics,605,65,540,10.7
Law,790,103,687,13.0
Philosophy,465,72,393,15.5
Communication & Media,280,48,232,17.1
Multidisciplinary,169,30,139,17.8
Sociology & Social Sciences,1388,266,1122,19.2
Operations Research & Decision Science,88,18,70,20.5
Political Science,512,108,404,21.1
General Engineering,241,51,190,21.2
Business & Management,674,146,528,21.7
Electrical & Electronic Engineering,354,80,274,22.6
Marketing,44,12,32,27.3
Mathematics,1038,285,753,27.5
Mechanical & Aerospace Engineering,426,121,305,28.4
Finance,56,16,40,28.6
Economics,593,170,423,28.7
Energy,184,53,131,28.8
Computer Science (General),948,278,670,29.3
Earth Science,739,218,521,29.5
Industrial Engineering,179,55,124,30.7
Education,963,301,662,31.3
Astronomy & Astrophysics,63,20,43,31.7
Accounting,133,43,90,32.3
Geography & Urban Studies,293,98,195,33.4
Psychology,571,192,379,33.6
Civil Engineering,328,114,214,34.8
Chemical Engineering,394,138,256,35.0
Artificial Intelligence,248,87,161,35.1
Physics,621,219,402,35.3
Atmospheric & Ocean Science,113,40,73,35.4
Plant & Agricultural Science,1028,373,655,36.3
Information Systems,52,19,33,36.5
Statistics,71,26,45,36.6
Development Studies,179,66,113,36.9
Animal Science & Veterinary,575,214,361,37.2
Materials Science,430,163,267,37.9
Ecology & Evolution,536,222,314,41.4
Chemistry,522,221,301,42.3
Environmental Science,431,191,240,44.3
Health Professions,256,116,140,45.3
Nursing,333,155,178,46.5
Marine & Aquatic Science,191,94,97,49.2
Psychiatry,120,60,60,50.0
General & Internal Medicine,1343,675,668,50.3
Nutrition & Food Science,185,95,90,51.4
Health Policy & Services,229,118,111,51.5
Public Health & Epidemiology,321,174,147,54.2
Pediatrics,218,119,99,54.6
Dermatology,133,74,59,55.6
Biotechnology,70,39,31,55.7
Biomedical Engineering,134,75,59,56.0
Critical Care & Emergency Medicine,142,80,62,56.3
Dentistry,250,141,109,56.4
Surgery,225,128,97,56.9
Anesthesiology,132,76,56,57.6
Ophthalmology,107,62,45,57.9
Pharmacology & Toxicology,382,227,155,59.4
Otolaryngology,68,41,27,60.3
Obstetrics & Gynecology,146,89,57,61.0
Anatomy & Physiology,81,50,31,61.7
Orthopedics & Sports Medicine,161,102,59,63.4
Hematology,101,64,37,63.4
Rehabilitation,33,21,12,63.6
Rheumatology,31,20,11,64.5
Neurology,182,118,64,64.8
Cardiovascular Medicine,357,235,122,65.8
Biochemistry,566,380,186,67.1
Pathology,99,67,32,67.7
Geriatrics,67,46,21,68.7
Endocrinology & Metabolism,165,114,51,69.1
Nephrology & Urology,124,86,38,69.4
Radiology & Imaging,128,89,39,69.5
Immunology,184,128,56,69.6
Gastroenterology & Hepatology,175,123,52,70.3
Oncology,201,142,59,70.6
Microbiology,157,112,45,71.3
Infectious Disease,178,129,49,72.5
Respiratory Medicine,56,43,13,76.8
Neuroscience,196,159,37,81.1
Molecular & Cell Biology,149,126,23,84.6
Genetics & Genomics,103,88,15,85.4
