field,n_journals_total,n_journals_with_data,coverage_pct,field_median_review_days,field_p25_review_days,field_p75_review_days,field_mean_review_days,slowest_journal,fastest_journal
Accounting,133,43,32.3,345.0,216.5,502.75,370.8255813953488,China Journal of Accounting Studies,Fiscal Studies
Marketing,44,12,27.3,280.0,208.875,355.5,287.8333333333333,International Journal of Research in Marketing,Journal of Retailing and Consumer Services
Business & Management,674,146,21.7,269.5,200.5,341.625,281.86301369863014,Journal of International Entrepreneurship,Frontiers of Health Services Management
Development Studies,179,66,36.9,258.0,174.25,308.0,246.3939393939394,Journal of African Business,Developing Economies
Statistics,71,26,36.6,254.0,214.75,285.75,256.3269230769231,Journal of the American Statistical Association,Stat
Information Systems,52,19,36.5,246.5,136.5,301.75,253.26315789473685,Journal of Strategic Information Systems,Neuroinformatics
Communication & Media,280,48,17.1,242.25,123.0,323.25,234.94791666666666,"Technology, Pedagogy and Education",Science Editing
Economics,593,170,28.7,237.5,173.0,309.875,238.8029411764706,Journal of the Knowledge Economy (discontinued),RAND Journal of Economics
Operations Research & Decision Science,88,18,20.5,231.75,171.5,297.25,249.44444444444446,International Journal of Management Reviews,Structural Equation Modeling
Finance,56,16,28.6,227.5,186.625,298.25,273.5625,Financial Innovation,Communications for Statistical Applications and Methods
Geography & Urban Studies,293,98,33.4,219.5,189.0,254.625,222.76530612244898,Journal of Urbanism,New Zealand Geographer
Education,963,301,31.3,218.0,164.5,278.5,222.25415282392026,Educational Research and Evaluation,Education Research International
Linguistics,605,65,10.7,214.5,164.0,277.0,234.7153846153846,Natural Language and Linguistic Theory,Communication Sciences and Disorders
Political Science,512,108,21.1,211.5,149.75,266.25,216.75,Journal of Contemporary African Studies,China International Strategy Review
Sociology & Social Sciences,1388,266,19.2,206.5,152.0,271.375,215.56766917293234,Latin American and Caribbean Ethnic Studies,American Ethnologist
Mathematics,1038,285,27.5,199.0,140.0,262.0,213.84912280701755,Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,Doklady Mathematics
Arts & Humanities,2513,242,9.6,188.0,135.0,248.75,198.94834710743802,Material Religion,Oxford Journal of Archaeology
Philosophy,465,72,15.5,187.0,142.125,238.0,191.97222222222223,Journal of Social Philosophy,Nous-Supplement: Philosophical Issues
Computer Science (General),948,278,29.3,185.5,144.0,251.875,202.44064748201438,NETNOMICS: Economic Research and Electronic Networking,Pattern Recognition and Image Analysis
History,1102,107,9.7,185.0,126.0,262.5,193.34112149532712,History and Technology,History and Theory
Psychology,571,192,33.6,175.25,124.25,224.625,188.4453125,Organizational Behavior and Human Decision Processes,Journal of Analytical Psychology
Artificial Intelligence,248,87,35.1,171.0,126.75,246.25,188.52298850574712,Journal of the ACM,Transactions of the Japanese Society for Artificial Intelligence
Atmospheric & Ocean Science,113,40,35.4,171.0,131.25,193.375,170.2875,Journal of Operational Oceanography,Atmospheric and Oceanic Science Letters
Earth Science,739,218,29.5,165.25,131.0,205.625,169.57110091743118,Geodesy and Cartography,Korean Journal of Remote Sensing
Law,790,103,13.0,163.0,119.0,225.5,174.66504854368932,Jindal Global Law Review,Family Court Review
Marine & Aquatic Science,191,94,49.2,156.75,120.5,189.5,158.20212765957447,Transactions of the American Fisheries Society,Limnology and Oceanography Bulletin
Ecology & Evolution,536,222,41.4,150.0,111.75,189.0,158.60585585585585,Tropical Ecology,Current Forestry Reports
Civil Engineering,328,114,34.8,147.25,107.125,195.0,154.00877192982455,Tecnologia y Ciencias del Agua,Asian Journal of Civil Engineering
Health Policy & Services,229,118,51.5,147.25,114.25,180.0,152.63983050847457,Journal of Public Health Policy,Alter
Electrical & Electronic Engineering,354,80,22.6,144.0,88.25,190.375,157.45,EPE Journal (European Power Electronics and Drives Journal),Russian Electrical Engineering
General Engineering,241,51,21.2,143.0,96.5,197.0,161.65686274509804,Journal of Product Innovation Management,Mathematical Problems in Engineering
Environmental Science,431,191,44.3,143.0,102.25,198.5,154.11780104712042,Housing Studies,Journal of Korean Society for Atmospheric Environment
Mechanical & Aerospace Engineering,426,121,28.4,140.0,104.0,183.0,152.3512396694215,International Applied Mechanics,Russian Aeronautics
Multidisciplinary,169,30,17.8,137.0,94.625,180.75,139.58333333333334,Nature,Journal of Yeungnam Medical Science
Public Health & Epidemiology,321,174,54.2,137.0,94.875,184.75,151.16954022988506,Sahara J,Communicable Diseases Intelligence
Plant & Agricultural Science,1028,373,36.3,137.0,99.0,175.0,144.03619302949062,Proceedings of the National Academy of Sciences India Section B - Biological Sciences,Physics of Life Reviews
Energy,184,53,28.8,134.0,95.0,172.0,143.9056603773585,International Journal of Coal Science and Technology,Energy and Environmental Materials
Health Professions,256,116,45.3,134.0,99.75,180.0,146.35344827586206,Health Care Management Science,ACSM's Health and Fitness Journal
Rehabilitation,33,21,63.6,132.0,84.0,171.0,125.42857142857143,Disability and Rehabilitation,Journal of Neurorestoratology
Nursing,333,155,46.5,131.0,90.25,179.25,138.0774193548387,International Journal of Nursing Practice,Journal of Midwifery and Women's Health
Neuroscience,196,159,81.1,127.0,92.5,167.0,135.3993710691824,Nature Neuroscience,Dementia and Geriatric Cognitive Disorders Extra
Industrial Engineering,179,55,30.7,126.0,90.25,239.5,161.83636363636364,Multimedia Tools and Applications,Russian Engineering Research
Library & Information Science,135,12,8.9,124.0,110.25,273.0,187.125,Journal of Classification,Journal of Hospital Librarianship
Animal Science & Veterinary,575,214,37.2,123.75,89.75,166.75,131.97663551401868,Journal of Mammalogy,Journal of World's Poultry Research
Orthopedics & Sports Medicine,161,102,63.4,121.0,89.5,146.125,124.83333333333333,Brazilian Journal of Physical Therapy,Korean Journal of Sport Science
Genetics & Genomics,103,88,85.4,118.25,91.375,151.25,125.07954545454545,Nature Genetics,HLA
Ophthalmology,107,62,57.9,117.0,88.75,147.625,123.54032258064517,Journal of Korean Ophthalmological Society,Vision (Switzerland)
Molecular & Cell Biology,149,126,84.6,115.25,85.625,153.5,126.59920634920636,Nature Cell Biology,Molecular and Cellular Oncology
Geriatrics,67,46,68.7,114.5,86.25,153.875,123.26086956521739,Nature Aging,American Journal of Geriatric Psychiatry
Psychiatry,120,60,50.0,113.0,94.375,142.875,124.125,Journal of Nervous and Mental Disease,International Review of Psychiatry
Biomedical Engineering,134,75,56.0,112.0,91.0,153.25,125.22,Journal of Medical Engineering and Technology,Annals of 3D Printed Medicine
General & Internal Medicine,1343,675,50.3,110.5,79.0,143.0,115.91481481481482,Journal of Herbal Medicine,Frontiers of Neurology and Neuroscience
Pediatrics,218,119,54.6,109.0,80.5,144.25,118.1344537815126,International Journal of Child Care and Education Policy,Paediatric Respiratory Reviews
Obstetrics & Gynecology,146,89,61.0,109.0,78.0,143.5,116.56179775280899,Birth,Fertility and Sterility
Oncology,201,142,70.6,108.5,79.25,135.5,111.7394366197183,Nature Cancer,Anti-Cancer Drugs
Dentistry,250,141,56.4,108.0,76.0,140.0,115.4645390070922,International Journal of Dental Hygiene,AJO-DO Clinical Companion
Anatomy & Physiology,81,50,61.7,107.0,82.375,144.375,114.61,Translational Research in Anatomy,Journal of Functional Morphology and Kinesiology
Pathology,99,67,67.7,106.5,81.5,131.75,110.0,"Medicine, Conflict and Survival",International Journal of Forensic Mental Health
Nutrition & Food Science,185,95,51.4,105.5,77.5,142.5,116.71052631578948,Journal of the Academy of Nutrition and Dietetics,Nestle Nutrition Institute Workshop Series
Microbiology,157,112,71.3,105.0,87.75,139.875,114.75,Nature Microbiology,mBio
Dermatology,133,74,55.6,103.25,84.625,136.625,107.32432432432432,International Journal of Trichology,Dermatology Online Journal
Otolaryngology,68,41,60.3,102.0,76.0,134.0,106.51219512195122,International Archives of Otorhinolaryngology,Journal of Craniofacial Surgery
Biotechnology,70,39,55.7,102.0,82.5,129.25,110.75641025641026,Food Technology and Biotechnology,BioSpektrum
Chemical Engineering,394,138,35.0,101.25,75.0,130.875,111.69202898550725,Nature Biomedical Engineering,Fluid Dynamics
Biochemistry,566,380,67.1,101.0,74.5,132.375,113.32236842105263,Proceedings of the National Academy of Sciences India Section A - Physical Sciences,Biologie Aujourd'hui
Endocrinology & Metabolism,165,114,69.1,100.75,74.75,125.75,106.00438596491227,Obesity Reviews,Frontiers of Hormone Research
Respiratory Medicine,56,43,76.8,100.5,63.5,127.5,96.70930232558139,Clinical Respiratory Journal,The Lancet Respiratory Medicine
