Frontiers in Immunology,1664-3224,Immunology,10.3389/fimmu.2026.1781889,Regulation of MRGPRX2-mediated mast cell function by competence-stimulating peptide 1 and pro-adrenomedullin peptide,2026-01-06,2026-02-26,,2026-03-17,2026-03-17,,51,19,70,frontiers_pdf
Frontiers in Immunology,1664-3224,Immunology,10.3389/fimmu.2026.1747972,Distribution of granzyme-expressing NK cells in tuberculosis reflects subset and compartment-specific remodeling,2025-11-17,2026-02-27,,2026-03-17,2026-03-17,,102,18,120,frontiers_pdf
Frontiers in Immunology,1664-3224,Immunology,10.3389/fimmu.2026.1702084,Advances in infection-immunity mechanisms and molecular regulatory networks in severe pneumonia-associated lung injury,2025-09-09,2026-03-03,,2026-03-17,2026-03-17,,175,14,189,frontiers_pdf
Frontiers in Immunology,1664-3224,Immunology,10.3389/fimmu.2026.1764343,Siglec-7 inhibits TLR3-induced pro-inflammatory cytokine production from human monocytes and macrophages,2025-12-09,2026-02-19,,2026-03-17,2026-03-17,,72,26,98,frontiers_pdf
Frontiers in Immunology,1664-3224,Immunology,10.3389/fimmu.2026.1778814,Interferon therapy for chronic hepatitis B in children: an immunological perspective,2025-12-31,2026-03-03,,2026-03-17,2026-03-17,,62,14,76,frontiers_pdf
Frontiers in Immunology,1664-3224,Immunology,10.3389/fimmu.2026.1770723,Decoding m6A: a new frontier in maternal-foetal immunology,2025-12-18,2026-03-03,,2026-03-17,2026-03-17,,75,14,89,frontiers_pdf
Frontiers in Immunology,1664-3224,Immunology,10.3389/fimmu.2026.1781872,The microbiome: regulating anti-tumor immunity,2026-01-06,2026-02-20,,2026-03-17,2026-03-17,,45,25,70,frontiers_pdf
Frontiers in Immunology,1664-3224,Immunology,10.3389/fimmu.2026.1794011,Establishment and evaluation of a novel tool based on inflammation-nutrition derived biomarkers for early diagnosis of diabetic foot ulcers,2026-01-22,2026-03-02,,2026-03-17,2026-03-17,,39,15,54,frontiers_pdf
Frontiers in Immunology,1664-3224,Immunology,10.3389/fimmu.2026.1662245,The role of JAK3 and TEC family kinases in vitiligo pathogenesis,2025-07-08,2026-02-17,,2026-03-16,2026-03-16,,224,27,251,frontiers_pdf
Frontiers in Immunology,1664-3224,Immunology,10.3389/fimmu.2026.1733041,"Absent the pre-B cell receptor checkpoint, the B-1a immunoglobulin CDR-H3 repertoire normalizes by convergent selection",2025-10-27,2026-02-13,,2026-03-16,2026-03-16,,109,31,140,frontiers_pdf
