field,field_category,journal_name,issn,issn_alt,publisher,sjr_rank,sjr_score,areas
Accounting,Accounting,Journal of Finance,0022-1082,1540-6261,Wiley-Blackwell Publishing Ltd,9,22.836,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting,Accounting,Journal of Financial Economics,0304-405X,,Elsevier B.V.,24,17.669,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting,Accounting,Review of Financial Studies,1465-7368,0893-9454,Oxford University Press,30,16.546,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting,Accounting,Journal of Accounting Research,1475-679X,0021-8456,Wiley-Blackwell Publishing Ltd,115,8.396,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting,Accounting,Review of Finance,1573-692X,1572-3097,Oxford University Press,122,8.22,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting,Accounting,Journal of Accounting and Economics,0165-4101,,Elsevier B.V.,143,7.505,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting,Accounting,Review of Accounting Studies,1573-7136,1380-6653,Springer New York,223,5.817,"Business, Management and Accounting"
Accounting,Accounting,Journal of Financial and Quantitative Analysis,0022-1090,1756-6916,Cambridge University Press,351,4.465,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting,Accounting,Accounting Review,0001-4826,1558-7967,American Accounting Association,411,4.045,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting,Accounting,Financial Management,0046-3892,,Wiley-Blackwell,627,3.226,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting,Accounting,Contemporary Accounting Research,0823-9150,1911-3846,John Wiley and Sons Inc,683,3.069,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting,Accounting,Critical Perspectives on Accounting,1045-2354,1095-9955,Academic Press,1006,2.426,"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
Accounting,Accounting,Financial Analysts Journal,0015-198X,,Taylor and Francis Ltd.,1259,2.148,"Business, Management and Accounting; Economics, Econometrics and Finance"
Accounting,Accounting,"Accounting, Organizations and Society",0361-3682,,Elsevier Ltd,1292,2.118,"Business, Management and Accounting; Decision Sciences; Psychology; Social Sciences"
Accounting,Accounting,"Work, Employment and Society",1469-8722,0950-0170,SAGE Publications Ltd,1297,2.115,"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
Anatomy & Physiology,Physiology,New Phytologist,1469-8137,0028-646X,Wiley-Blackwell Publishing Ltd,612,3.293,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Anatomy & Physiology,Physiology,"Plant, Cell and Environment",0140-7791,1365-3040,John Wiley and Sons Inc,1256,2.15,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Anatomy & Physiology,Physiology,Physiology,1548-9213,1548-9221,American Physiological Society,1628,1.873,"Biochemistry, Genetics and Molecular Biology"
Anatomy & Physiology,Physiology,Journal of Experimental Botany,1460-2431,0022-0957,Oxford University Press,1770,1.778,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Anatomy & Physiology,Physiology,Journal of Physiology,0022-3751,1469-7793,John Wiley and Sons Inc,1878,1.715,"Biochemistry, Genetics and Molecular Biology; Health Professions"
Anatomy & Physiology,Anatomy,American Journal of Surgical Pathology,1532-0979,0147-5185,Wolters Kluwer Health,1950,1.684,Medicine
Anatomy & Physiology,Anatomy,Human Brain Mapping,1065-9471,1097-0193,Wiley-Liss Inc.,2175,1.584,Health Professions; Medicine; Neuroscience
Anatomy & Physiology,Physiology,Acta Physiologica,1748-1716,1748-1708,John Wiley and Sons Ltd,2306,1.528,"Biochemistry, Genetics and Molecular Biology"
Anatomy & Physiology,Physiology,Journal of General Physiology,0022-1295,1540-7748,Rockefeller University Press,2760,1.382,"Biochemistry, Genetics and Molecular Biology"
Anatomy & Physiology,Physiology,American Journal of Physiology - Renal Fluid and Electrolyte Physiology,0363-6127,,American Physiological Society,2832,1.363,"Biochemistry, Genetics and Molecular Biology; Medicine"
Anatomy & Physiology,Anatomy,Advances in Anatomic Pathology,1072-4109,1533-4031,Lippincott Williams and Wilkins Ltd.,3148,1.286,Medicine
Anatomy & Physiology,Physiology,Temperature,2332-8940,2332-8959,Taylor and Francis Ltd.,3305,1.25,"Biochemistry, Genetics and Molecular Biology; Medicine"
Anatomy & Physiology,Anatomy,Brain Structure and Function,1863-2653,1863-2661,Springer Science and Business Media Deutschland GmbH,3332,1.245,Medicine; Neuroscience
Anatomy & Physiology,Physiology,American Journal of Physiology - Lung Cellular and Molecular Physiology,1522-1504,1040-0605,American Physiological Society,3365,1.24,"Biochemistry, Genetics and Molecular Biology; Medicine"
Anatomy & Physiology,Anatomy,Anatomical Sciences Education,1935-9772,1935-9780,John Wiley &amp; Sons Inc.,3474,1.216,Medicine
Anesthesiology,Anesthesiology and Pain Medicine,Leukemia,0887-6924,1476-5551,Springer Nature,552,3.458,"Biochemistry, Genetics and Molecular Biology; Medicine"
Anesthesiology,Anesthesiology and Pain Medicine,Anaesthesia,1365-2044,0003-2409,Wiley-Blackwell Publishing Ltd,832,2.751,Medicine
Anesthesiology,Anesthesiology and Pain Medicine,British Journal of Anaesthesia,0007-0912,1471-6771,Elsevier Ltd,1058,2.36,Medicine
Anesthesiology,Anesthesiology and Pain Medicine,Journal of Headache and Pain,1129-2377,1129-2369,Springer-Verlag Italia s.r.l.,1346,2.066,Medicine
Anesthesiology,Anesthesiology and Pain Medicine,Pain,1872-6623,0304-3959,Lippincott Williams and Wilkins,1410,2.017,"Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
Anesthesiology,Anesthesiology and Pain Medicine,Anesthesiology,1528-1175,0003-3022,Lippincott Williams and Wilkins,1520,1.946,Medicine
Anesthesiology,Anesthesiology and Pain Medicine,Seminars in Arthritis and Rheumatism,0049-0172,1532-866X,W.B. Saunders,1625,1.874,Medicine
Anesthesiology,Anesthesiology and Pain Medicine,Palliative Medicine,1477-030X,0269-2163,SAGE Publications Ltd,2420,1.49,Medicine
Anesthesiology,Anesthesiology and Pain Medicine,Regional Anesthesia and Pain Medicine,1098-7339,1532-8651,BMJ Publishing Group,2655,1.411,Medicine
Anesthesiology,Anesthesiology and Pain Medicine,Journal of Pain,1526-5900,1528-8447,Elsevier B.V.,2854,1.357,Medicine; Neuroscience
Anesthesiology,Anesthesiology and Pain Medicine,Journal of Clinical Anesthesia,1873-4529,0952-8180,Elsevier Inc.,2958,1.333,Medicine
Anesthesiology,Anesthesiology and Pain Medicine,European Journal of Pain,1090-3801,1532-2149,John Wiley and Sons Inc,3073,1.303,Medicine
Anesthesiology,Anesthesiology and Pain Medicine,European Journal of Anaesthesiology,0265-0215,1365-2346,Lippincott Williams and Wilkins,3300,1.25,Medicine
Anesthesiology,Anesthesiology and Pain Medicine,Pain Reports,2471-2531,,Lippincott Williams and Wilkins,3304,1.25,Medicine
Anesthesiology,Anesthesiology and Pain Medicine,Journal of Pain and Symptom Management,1873-6513,0885-3924,Elsevier Inc.,3526,1.205,Medicine; Nursing
Animal Science & Veterinary,Animal Science and Zoology,Annual Review of Animal Biosciences,2165-8110,2165-8102,Annual Reviews Inc.,606,3.307,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Veterinary"
Animal Science & Veterinary,Animal Science and Zoology,Journal of Animal Ecology,0021-8790,1365-2656,Wiley-Blackwell Publishing Ltd,1915,1.698,Agricultural and Biological Sciences
Animal Science & Veterinary,Animal Science and Zoology,Animal Nutrition,2405-6383,2405-6545,KeAi Communications Co.,1928,1.691,Agricultural and Biological Sciences; Veterinary
Animal Science & Veterinary,Animal Science and Zoology,Journal of Animal Science and Biotechnology,1674-9782,2049-1891,BioMed Central Ltd,2177,1.583,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Animal Science & Veterinary,Animal Science and Zoology,Current Research in Pharmacology and Drug Discovery,2590-2571,,Elsevier B.V.,3020,1.317,Agricultural and Biological Sciences
