journal_name,issn,field,n_articles,n_with_review_time,median_days_submission_to_acceptance,p25_review,p75_review,mean_days_submission_to_acceptance,median_days_acceptance_to_publication,median_days_total,data_sources,publisher,sjr_rank,sjr_score,primary_area,mega_domain
China Journal of Accounting Studies,2169-7213,Accounting,1,1,914.0,914.0,914.0,914.0,,787.0,crossref_assertion,Taylor and Francis Ltd.,15695,0.331,"Business, Management and Accounting",Social Sciences
Contemporary Accounting Research,0823-9150,Accounting,100,78,826.5,633.5,932.5,768.7820512820513,75.0,925.0,crossref_assertion,John Wiley and Sons Inc,683,3.069,"Business, Management and Accounting",Social Sciences
Journal of Accounting Research,1475-679X,Accounting,100,85,655.0,482.0,824.0,665.364705882353,85.0,758.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,115,8.396,"Business, Management and Accounting",Social Sciences
European Accounting Review,0963-8180,Accounting,100,86,636.0,456.25,818.0,650.953488372093,34.0,687.0,crossref_assertion,Routledge,2764,1.381,Arts and Humanities,Arts & Humanities
"Journal of Money, Credit and Banking",1538-4616,Accounting,100,77,633.0,491.0,754.0,629.7012987012987,138.0,850.5,crossref_assertion,Wiley-Blackwell,1541,1.933,"Business, Management and Accounting",Social Sciences
Review of Accounting Studies,1573-7136,Accounting,23,21,623.0,489.0,846.0,655.4285714285714,49.0,677.0,crossref_assertion,Springer New York,223,5.817,"Business, Management and Accounting",Social Sciences
Journal of Finance,0022-1082,Accounting,39,31,619.0,464.0,784.0,607.3870967741935,235.0,983.5,crossref_assertion,Wiley-Blackwell Publishing Ltd,9,22.836,"Business, Management and Accounting",Social Sciences
Journal of Accounting and Economics,0165-4101,Accounting,43,38,571.0,373.75,821.25,560.9473684210526,5.0,639.5,scrape_elsevier,Elsevier B.V.,143,7.505,"Business, Management and Accounting",Social Sciences
Journal of Business Finance and Accounting,0306-686X,Accounting,100,87,553.0,349.5,717.5,544.8275862068965,22.0,606.5,crossref_assertion,Wiley-Blackwell Publishing Ltd,3244,1.263,"Business, Management and Accounting",Social Sciences
Journal of Financial Services Research,1573-0735,Accounting,102,99,525.0,374.0,656.5,516.9191919191919,38.0,573.5,crossref_assertion,Springer Netherlands,8075,0.702,"Business, Management and Accounting",Social Sciences
Critical Perspectives on Accounting,1045-2354,Accounting,59,55,513.0,318.5,695.0,492.8181818181818,21.0,545.5,scrape_elsevier,Academic Press,1006,2.426,"Business, Management and Accounting",Social Sciences
Mathematical Finance,0960-1627,Accounting,100,100,489.5,361.0,614.0,488.37,28.0,532.5,crossref_assertion,Wiley-Blackwell Publishing Ltd,2979,1.327,"Business, Management and Accounting",Social Sciences
Journal of Management Control,2191-477X,Accounting,16,16,469.5,405.75,565.75,499.3125,20.0,483.5,crossref_assertion,Physica-Verlag,7061,0.777,"Business, Management and Accounting",Social Sciences
Accounting Education,1468-4489,Accounting,100,98,468.0,344.75,696.5,530.0612244897959,13.0,482.0,crossref_assertion,Routledge,4428,1.054,"Business, Management and Accounting",Social Sciences
