journal_name,issn,field,doi,title,received_date,accepted_date,revised_date,published_date,days_submission_to_acceptance,days_acceptance_to_publication,days_total,data_source
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25168,Cholesterol in glioblastoma: impaired Hh signaling enhances epigenetic modifiers and decreases CAV1,2025-12-23,2026-01-18,,2026-01-01,26,,9,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25163,A &lt;i&gt;mei-P26&lt;/i&gt; is required for initiation of meiosis in the &lt;i&gt;Drosophila&lt;/i&gt; male germline,2025-12-12,2026-02-03,,2026-01-01,53,,20,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25142,Calcium and magnesium deficiency induces stress granule formation to maintain magnesium homeostasis,2025-11-08,2025-12-23,,2026-01-01,45,9,54,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25167,Functional analysis of miR-199a-3p in tumor endothelial cells,2025-12-18,2026-02-11,,2026-01-01,55,,14,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25152,Enhanced release of ciliary extracellular vesicles suppresses cell migration and promotes cell aggregation,2025-11-29,2025-12-25,,2026-01-01,26,7,33,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.26002,Changes in nuclear morphology and size in mammalian temperature-sensitive mutants,2026-01-08,2026-03-08,,2026-01-01,59,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25112,Emerging S100A11 roles: Regulation of focal adhesion dynamics and mechanosensing,2025-08-14,2025-12-07,,2026-01-01,115,25,140,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25156,Depletion of Flot1 attenuates macropinosome-dependent mTORC1 activation in podocytes,2025-12-02,2026-01-05,,2026-01-01,34,,30,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25147,Single-nucleosome imaging uncovers biphasic chromatin dynamics in inducible human transformed cells,2025-11-20,2025-12-18,,2026-01-01,28,14,42,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25129,Multiplex live imaging approaches to interrogate the interplay of multiple signaling pathways,2025-10-15,2026-01-29,,2026-01-01,106,,78,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25161,Identification of Rab30 as a novel regulator of tubular endosomes,2025-12-09,2026-03-04,,2026-01-01,85,,23,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25154,Down-regulation of proliferation-inhibiting factor EGR1 in brain metastatic cancer cells on a soft matrix,2025-11-30,2026-01-31,,2026-01-01,62,,32,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25169,Expression of transcription factors KLF2 and KLF4 is induced by the mammalian Golgi stress response,2025-12-24,2026-01-15,,2026-01-01,22,,8,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25136,Structural truncation of IL-1R2 enhances the anti-inflammatory activity of HeLa cells,2025-10-26,2025-12-04,,2026-01-01,39,28,67,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25140,Force-dependent vinculin binding of α-catenin accelerates adherens junction formation,2025-11-06,2025-12-09,,2026-01-01,33,23,56,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25011,A quantitative method to monitor STING degradation with dual-luciferase reporters,2025-03-11,2025-04-15,,2025-01-01,35,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24064,Live imaging of paracrine signaling: Advances in visualization and tracking techniques,2024-10-16,2024-11-28,,2025-01-01,43,34,77,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24070,A sensitive ERK fluorescent probe reveals the significance of minimal EGF-induced transcription,2024-11-19,2024-12-14,,2025-01-01,25,18,43,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24074,Impact of physiological ionic strength and crowding on kinesin-1 motility,2024-11-27,2025-01-01,,2025-01-15,35,14,49,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25018,Supersulfides regulate cell migration in human skin keratinocytes,2025-04-08,2025-07-24,,2025-01-01,107,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25020,Cell biological insights into human STING variants,2025-04-11,2025-05-09,,2025-01-01,28,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25009,"BiP, GRP94, calreticulin and calnexin contribute to development of the notochord in medaka fish",2025-03-01,2025-05-07,,2025-01-01,67,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25019,"Context-dependent interactions among afadin, ZO-1, and actin filaments",2025-04-10,2025-11-12,,2025-01-01,216,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25001,"Tango1L but not Tango1S, Tali and cTAGE5 is required for export of type II collagen in medaka fish",2025-01-06,2025-01-15,,2025-01-01,9,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24081,Chemokine induces phase transition from non-directional to directional migration during angiogenesis,2024-12-27,2025-03-08,,2025-01-01,71,,5,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24067,The role of primary cilia in myoblast proliferation and cell cycle regulation during myogenesis,2024-11-12,2025-01-06,,2025-01-01,55,,50,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25032,Deep learning-based segmentation of 2D projection-derived overlapping prospore membrane in yeast,2025-06-01,2025-09-06,,2025-01-01,97,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25004,Capturing CDKs in action: Live-cell biosensors pioneer the new frontiers in cell cycle research,2025-02-05,2025-03-03,,2025-01-01,26,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25126,Monitoring phospholipid dynamics &lt;i&gt;in vivo&lt;/i&gt; with a fluorescent dye octadecyl rhodamine B,2025-09-24,2025-10-15,,2025-01-01,21,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25073,Extracellular presentation of syntaxin4 as a potential trigger for region-specific gastrulation,2025-07-24,2025-10-22,,2025-01-01,90,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25008,Macropinocytosis regulates cytokine expression through Erk signaling in LPS-stimulated macrophages,2025-02-25,2025-03-04,,2025-01-01,7,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24037,Magnetic control of membrane damage in early endosomes using internalized magnetic nanoparticles,2024-07-04,2024-12-23,,2025-01-01,172,9,181,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25027,Assembly and mother centriole recruitment of IFT-B subcomplexes to form IFT-B holocomplex,2025-05-19,2025-06-19,,2025-01-01,31,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.25017,Opto-p53: A light-controllable activation of p53 signaling pathway,2025-04-04,2025-06-02,,2025-07-01,59,29,88,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23066,Lysosomal membrane integrity in fibroblasts derived from patients with Gaucher disease,2023-09-07,2023-12-04,,2024-01-01,88,28,116,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24036,Deep learning-based segmentation of subcellular organelles in high-resolution phase-contrast images,2024-06-28,2024-07-25,,2024-01-01,27,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.23088,&lt;i&gt;In vivo&lt;/i&gt; evidence for homeostatic regulation of ribosomal protein levels in &lt;i&gt;Drosophila&lt;/i&gt;,2023-12-18,2024-01-07,,2024-01-01,20,,14,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24044,The expression of the formin Fhod3 in mouse tongue striated muscle,2024-07-25,2024-10-06,,2024-01-01,73,,,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24008,Deciphering the sub-Golgi localization of glycosyltransferases via 3D super-resolution imaging,2024-02-20,2024-07-04,,2024-08-22,135,49,184,jstage
Cell Structure and Function,1347-3700,General & Internal Medicine,10.1247/csf.24003,Reconstitution of nuclear envelope subdomain formation on mitotic chromosomes in semi-intact cells,2024-01-14,2024-05-23,,2024-01-01,130,,,jstage
